Active Thread Count,Active Processes,Idle Thread Count
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
0,2,50
1,2,49
2,2,48
3,2,47
4,2,46
5,2,45
6,2,44
7,2,43
8,2,42
9,2,41
10,2,40
11,2,39
12,2,38
13,2,37
14,2,36
15,2,35
16,2,34
17,2,33
18,2,32
19,2,31
20,2,30
21,2,29
22,2,28
23,2,27
24,2,26
25,2,25
26,3,49
27,3,48
28,3,47
29,3,46
30,3,45
31,3,44
32,3,43
33,3,42
34,3,41
35,3,40
36,3,39
37,3,38
38,3,37
39,3,36
40,3,35
41,3,34
42,3,33
43,3,32
44,3,31
45,3,30
46,3,29
47,3,28
48,3,27
49,3,26
50,3,25
51,4,49
52,4,48
53,4,47
54,4,46
55,4,45
56,4,44
57,4,43
58,4,42
59,4,41
60,4,40
61,4,39
62,4,38
63,4,37
64,4,36
65,4,35
66,4,34
67,4,33
68,4,32
69,4,31
70,4,30
71,4,29
72,4,28
73,4,27
74,4,26
75,4,25
76,5,49
77,5,48
78,5,47
79,5,46
80,5,45
81,5,44
82,5,43
83,5,42
84,5,41
85,5,40
86,5,39
87,5,38
88,5,37
89,5,36
90,5,35
91,5,34
92,5,33
93,5,32
94,5,31
95,5,30
96,5,29
97,5,28
98,5,27
99,5,26
100,5,25
101,6,49
102,6,48
103,6,47
104,6,46
105,6,45
106,6,44
107,6,43
108,6,42
109,6,41
110,6,40
111,6,39
112,6,38
113,6,37
114,6,36
115,6,35
116,6,34
117,6,33
118,6,32
119,6,31
120,6,30
121,6,29
122,6,28
123,6,27
124,6,26
125,6,25
126,6,24
127,6,23
128,6,22
129,6,21
130,6,20
131,6,19
132,6,18
133,6,17
134,6,16
135,6,15
136,6,14
137,6,13
138,6,12
139,6,11
140,6,10
141,6,9
142,6,8
143,6,7
144,6,6
145,6,5
146,6,4
147,6,3
148,6,2
149,6,1
150,6,0
149,6,1
148,6,2
147,6,3
146,6,4
145,6,5
144,6,6
143,6,7
142,6,8
141,6,9
140,6,10
139,6,11
138,6,12
137,6,13
136,6,14
135,6,15
134,6,16
133,6,17
132,6,18
131,6,19
130,6,20
129,6,21
128,6,22
127,6,23
126,6,24
125,6,25
124,6,26
123,6,27
122,6,28
121,6,29
120,6,30
119,6,31
118,6,32
117,6,33
116,6,34
115,6,35
114,6,36
113,6,37
112,6,38
111,6,39
110,6,40
109,6,41
108,6,42
107,6,43
106,6,44
105,6,45
104,6,46
103,6,47
102,6,48
101,6,49
100,6,50
99,6,51
98,6,52
97,6,53
96,6,54
95,6,55
94,6,56
93,6,57
92,6,58
91,6,59
90,6,60
89,6,61
88,6,62
87,6,63
86,6,64
85,6,65
84,6,66
83,6,67
82,6,68
81,6,69
80,6,70
79,6,71
78,6,72
77,6,73
76,6,74
75,6,75
74,5,51
73,5,52
72,5,53
71,5,54
70,5,55
69,5,56
68,5,57
67,5,58
66,5,59
65,5,60
64,5,61
63,5,62
62,5,63
61,5,64
60,5,65
59,5,66
58,5,67
57,5,68
56,5,69
55,5,70
54,5,71
53,5,72
52,5,73
51,5,74
50,5,75
49,4,51
48,4,52
47,4,53
46,4,54
45,4,55
44,4,56
43,4,57
42,4,58
41,4,59
40,4,60
39,4,61
38,4,62
37,4,63
36,4,64
35,4,65
34,4,66
33,4,67
32,4,68
31,4,69
30,4,70
29,4,71
28,4,72
27,4,73
26,4,74
25,4,75
24,3,51
23,3,52
22,3,53
21,3,54
20,3,55
19,3,56
18,3,57
17,3,58
16,3,59
15,3,60
14,3,61
13,3,62
12,3,63
11,3,64
10,3,65
9,3,66
8,3,67
7,3,68
6,3,69
5,3,70
4,3,71
3,3,72
2,3,73
1,3,74
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
0,3,75
