Active Thread Count,Active Processes,Idle Thread Count
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
0,4,96
1,3,71
2,2,46
3,1,21
4,1,20
5,1,19
6,1,18
7,1,17
8,1,16
9,1,15
10,1,14
11,1,13
12,1,12
13,2,35
14,1,10
15,2,33
16,1,8
17,2,31
18,1,6
19,2,29
20,1,4
21,2,27
22,1,2
23,2,25
24,2,24
25,2,23
26,2,22
27,2,21
28,2,20
29,2,19
30,2,18
31,2,17
32,2,16
33,2,15
34,2,14
35,2,13
36,2,12
37,3,35
38,2,10
39,3,33
40,2,8
41,3,31
42,2,6
43,3,29
44,2,4
45,3,27
46,2,2
47,3,25
48,3,24
49,3,23
50,3,22
51,3,21
52,3,20
53,3,19
54,3,18
55,3,17
56,3,16
57,3,15
58,3,14
59,3,13
60,3,12
61,4,35
62,3,10
63,4,33
64,3,8
65,4,31
66,3,6
67,4,29
68,3,4
69,4,27
70,3,2
71,4,25
72,4,24
73,4,23
74,4,22
75,4,21
76,4,20
77,4,19
78,4,18
79,4,17
80,4,16
81,4,15
82,4,14
83,4,13
84,4,12
85,5,35
86,4,10
87,5,33
88,4,8
89,5,31
90,4,6
91,5,29
92,4,4
93,5,27
94,4,2
95,5,25
96,5,24
97,5,23
98,5,22
99,5,21
100,5,20
101,5,19
102,5,18
103,5,17
104,5,16
105,5,15
106,5,14
107,5,13
108,5,12
109,6,35
110,5,10
111,6,33
112,5,8
113,6,31
114,5,6
115,6,29
116,5,4
117,6,27
118,5,2
119,6,25
120,6,24
121,6,23
122,6,22
123,6,21
124,6,20
125,6,19
126,6,18
127,6,17
128,6,16
129,6,15
130,6,14
131,6,13
132,6,12
133,6,11
134,6,10
135,6,9
136,6,8
137,6,7
138,6,6
139,6,5
140,6,4
141,6,3
142,6,2
143,6,1
144,6,0
143,6,1
142,6,2
141,6,3
140,6,4
139,6,5
138,6,6
137,6,7
136,6,8
135,6,9
134,6,10
133,6,11
132,6,12
131,6,13
130,6,14
129,6,15
128,6,16
127,6,17
126,6,18
125,6,19
124,6,20
123,6,21
122,6,22
121,6,23
120,6,24
119,5,1
118,6,26
117,5,3
116,6,28
115,5,5
114,6,30
113,5,7
112,6,32
111,5,9
110,6,34
109,5,11
108,5,12
107,5,13
106,5,14
105,5,15
104,5,16
103,5,17
102,5,18
101,5,19
100,5,20
99,5,21
98,5,22
97,5,23
96,5,24
95,4,1
94,5,26
93,4,3
92,5,28
91,4,5
90,5,30
89,4,7
88,5,32
87,4,9
86,5,34
85,4,11
84,4,12
83,4,13
82,4,14
81,4,15
80,4,16
79,4,17
78,4,18
77,4,19
76,4,20
75,4,21
74,4,22
73,4,23
72,4,24
71,3,1
70,4,26
69,3,3
68,4,28
67,3,5
66,4,30
65,3,7
64,4,32
63,3,9
62,4,34
61,3,11
60,3,12
59,3,13
58,3,14
57,3,15
56,3,16
55,3,17
54,3,18
53,3,19
52,3,20
51,3,21
50,3,22
49,3,23
48,3,24
47,2,1
46,3,26
45,2,3
44,3,28
43,2,5
42,3,30
41,2,7
40,3,32
39,2,9
38,3,34
37,2,11
36,2,12
35,2,13
34,2,14
33,2,15
32,2,16
31,2,17
30,2,18
29,2,19
28,2,20
27,2,21
26,2,22
25,2,23
24,2,24
23,1,1
22,2,26
21,1,3
20,2,28
19,1,5
18,2,30
17,1,7
16,2,32
15,1,9
14,2,34
13,1,11
12,1,12
11,1,13
10,1,14
9,1,15
8,1,16
7,1,17
6,1,18
5,1,19
4,1,20
3,1,21
2,1,22
1,1,23
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
0,1,24
